id	first_publication
loc.ark+=13960=t74t7360t	1890
loc.ark+=13960=t82j6kh5k	1912
loc.ark+=13960=t9960d497	1870
coo1.ark+=13960=t2c82w23c	1885
loc.ark+=13960=t7pn9rw2m	1906
loc.ark+=13960=t6m04mg5p	1919
loc.ark+=13960=t9q24dm8w	1888
uc2.ark+=13960=t01z43n01	1920
uiuo.ark+=13960=t4rj6rc9w	1909
uc2.ark+=13960=t4mk6831r	1914
mdp.39015064334892	1827
loc.ark+=13960=t0gt5p120	N/A
aeu.ark+=13960=t4rj5qf71	1913
coo1.ark+=13960=t10p1n93p	1893
uc2.ark+=13960=t02z15t7n	1852
coo1.ark+=13960=t9f487q20	1901
mdp.39015065248984	1859
uc2.ark+=13960=t5s75d608	1911
uc2.ark+=13960=t9f47mc16	1859
uc2.ark+=13960=t19k4ff7t	1816
coo1.ark+=13960=t6ww7zh2d	1922
aeu.ark+=13960=t6737k45j	1789
uc2.ark+=13960=t3bz63c38	1867
loc.ark+=13960=t33209f0s	1916
loc.ark+=13960=t1cj9m35m	1902
dul1.ark+=13960=t4mk75r0x	1766
uc2.ark+=13960=t0bv7cd41	1922
mdp.39015074623573	1791
mdp.39015080963989	N/A
aeu.ark+=13960=t42r55852	1887
loc.ark+=13960=t0rr2q06j	1917
uc2.ark+=13960=t3mw2cp7t	1896
coo1.ark+=13960=t5s75z006	1903
uc2.ark+=13960=t9c53h17k	1905
uc2.ark+=13960=t1bk18k29	1915
loc.ark+=13960=t04x5zq7m	1910
loc.ark+=13960=t4kk9ss08	1918
loc.ark+=13960=t4dn58j0j	1906
loc.ark+=13960=t76t0x11z	1874
aeu.ark+=13960=t7hq4kk8n	1873
loc.ark+=13960=t3cz4387d	1910
uc2.ark+=13960=t0xp83404	1919
nnc2.ark+=13960=t5hb0mn1q	1920
aeu.ark+=13960=t23b6m83g	1883
loc.ark+=13960=t17m0mv8z	1891
uc2.ark+=13960=t3st7hp4s	1899
uc2.ark+=13960=t1mg7gb9r	1891
aeu.ark+=13960=t71v6b93j	1860
loc.ark+=13960=t9n300s4f	1916
uiuo.ark+=13960=t5gb4cr3b	1911
uiuo.ark+=13960=t2p55tz71	1881
loc.ark+=13960=t3hx2gt59	1889
loc.ark+=13960=t09w0zq30	1860
aeu.ark+=13960=t5r78qj9n	1888
uc2.ark+=13960=t87h1j59x	1859
uc2.ark+=13960=t1dj5bq0r	1893
coo1.ark+=13960=t2h71042j	1920
loc.ark+=13960=t57d3b430	1907
loc.ark+=13960=t1qf9mx8w	1866
coo1.ark+=13960=t0pr8c240	N/A
yale.39002034927039	1914
uc2.ark+=13960=t3pv6jc9m	1902
uc2.ark+=13960=t9g44kg57	1922
gri.ark+=13960=t7wm4jt59	1873
loc.ark+=13960=t0sq9d607	1901
uc2.ark+=13960=t73t9v41z	1914
aeu.ark+=13960=t4jm2qg0s	1817
loc.ark+=13960=t7sn1bh33	1867
gri.ark+=13960=t38089s62	1886
coo1.ark+=13960=t8w95rd2h	1903
coo1.ark+=13960=t2h710h10	1918
mmet.ark+=13960=t3dz0m63k	1771
loc.ark+=13960=t9378732v	1918
uc2.ark+=13960=t13n23q0z	1899
uc2.ark+=13960=t0js9wj20	1920
uc2.ark+=13960=t2k64ps2r	1899
gri.ark+=13960=t53f89226	1906
coo1.ark+=13960=t79s2bm3v	1916
uc2.ark+=13960=t1qf8s61s	1917
aeu.ark+=13960=t8bg40w5h	1918
uc2.ark+=13960=t42r40c9w	1905
uc2.ark+=13960=t8z89589v	1909
uc2.ark+=13960=t6d225k5q	1839
uc2.ark+=13960=t4xg9vs9h	1915
coo1.ark+=13960=t9q24gt8d	1911
loc.ark+=13960=t4xh08994	1922
loc.ark+=13960=t46q2gf5s	N/A
coo1.ark+=13960=t7qn6pq17	1918
uc2.ark+=13960=t9f47s236	1841
coo1.ark+=13960=t9v12kn91	1908
loc.ark+=13960=t85h7wx5n	1851
nnc2.ark+=13960=t21c2pn6w	1900
loc.ark+=13960=t57d46c4b	N/A
mdp.39015073701768	1890
yale.39002053504636	1874
loc.ark+=13960=t2w383x38	1876
aeu.ark+=13960=t9b584j1f	1917
loc.ark+=13960=t0000sk0x	1886
uc2.ark+=13960=t6nz84v1c	N/A
uc2.ark+=13960=t46q1wk55	1882
yale.39002021620043	1805
uc2.ark+=13960=t14m92q24	1918
coo1.ark+=13960=t1vd7dw07	1905
coo1.ark+=13960=t3bz6rh4d	1898
uc2.ark+=13960=t9z038m3x	1920
loc.ark+=13960=t1wd4qn2z	1922
uc2.ark+=13960=t8z89483j	N/A
uiuo.ark+=13960=t6n03k803	1915
loc.ark+=13960=t3pv6wq1c	1886
uc2.ark+=13960=t5j966d3t	1912
uc2.ark+=13960=t05x26g81	1883
yale.39002001031203	1869
uc2.ark+=13960=t3805c626	N/A
loc.ark+=13960=t6h13hc54	1891
aeu.ark+=13960=t06x0bh6q	1896
aeu.ark+=13960=t59c87t7t	1906
coo1.ark+=13960=t3417jw5j	N/A
coo1.ark+=13960=t71v62t7w	1921
uc2.ark+=13960=t85h7nm09	1821
aeu.ark+=13960=t9v12mw5n	1858
ncs1.ark+=13960=t7br93h94	1902
nnc2.ark+=13960=t7zk83m4j	1876
loc.ark+=13960=t5z612n2m	N/A
loc.ark+=13960=t0ft9xd3h	N/A
aeu.ark+=13960=t2s47j01m	1853
uc2.ark+=13960=t06w98z0w	1922
coo1.ark+=13960=t4dn4q56h	1883
uc2.ark+=13960=t10p1080x	1917
uc2.ark+=13960=t8kd20q4h	1910
dul1.ark+=13960=t3st8sj6n	N/A
uc2.ark+=13960=t6833r53w	1911
aeu.ark+=13960=t83j3wh1j	N/A
aeu.ark+=13960=t5j97f77s	1916
coo1.ark+=13960=t3hx1x55s	N/A
uc2.ark+=13960=t20c4w622	1915
uiuo.ark+=13960=t1rf6123d	1887
uc2.ark+=13960=t0vq2vx4x	N/A
uc2.ark+=13960=t4xg9h52x	1903
yale.39002051302264	1884
uc2.ark+=13960=t9862dw3n	1895
uc2.ark+=13960=t55d8q627	1904
coo1.ark+=13960=t6f19hp69	N/A
loc.ark+=13960=t5x64b351	1920
yale.39002002506526	1843
nnc2.ark+=13960=t5x63n61s	1917
aeu.ark+=13960=t1hh7f98t	1899
aeu.ark+=13960=t1vd7r796	1855
uc2.ark+=13960=t5fb54b6k	1855
loc.ark+=13960=t6nz9b61q	1909
loc.ark+=13960=t19k57g6p	1914
uc2.ark+=13960=t3bz67n7f	1879
nc01.ark+=13960=t52f8xq8r	1842
uiuo.ark+=13960=t1hh6st5v	N/A
uc2.ark+=13960=t1wd3sh33	1912
uc2.ark+=13960=t0vq2xh5v	N/A
aeu.ark+=13960=t00z7n22t	1893
uc2.ark+=13960=t1ng4q653	N/A
uc2.ark+=13960=t58c9t779	1899
loc.ark+=13960=t0dv2t235	N/A
loc.ark+=13960=t7tm7qg4x	N/A
bc.ark+=13960=t0tq8b47t	1776
loc.ark+=13960=t1xd1c396	1885
loc.ark+=13960=t1bk1cv81	1906
uc2.ark+=13960=t49p30g00	1901
yale.39002013173779	1875
coo1.ark+=13960=t3pv72473	1910
loc.ark+=13960=t20c5dz30	1876
uc2.ark+=13960=t6445w410	1835
uc2.ark+=13960=t1fj2bk1m	1894
coo1.ark+=13960=t03x8zj95	N/A
gri.ark+=13960=t4nk4615h	1851
aeu.ark+=13960=t05x2q60s	1856
uc2.ark+=13960=t40r9zd8q	1825
coo1.ark+=13960=t7sn0rh83	1912
loc.ark+=13960=t8cg06847	N/A
uc2.ark+=13960=t2g73h83g	1853
uc2.ark+=13960=t4zg6hb68	1907
yale.39002009448938	1912
dul1.ark+=13960=t3711nv50	1908
loc.ark+=13960=t0ms49r88	N/A
loc.ark+=13960=t7gq7nm2v	1915
coo1.ark+=13960=t0gt6598n	1922
uc2.ark+=13960=t8sb42x4z	N/A
loc.ark+=13960=t0ns1ch84	N/A
coo1.ark+=13960=t7sn0r714	N/A
loc.ark+=13960=t2k658j40	1905
loc.ark+=13960=t5w66jx3r	1881
aeu.ark+=13960=t20c63v6r	1873
uc2.ark+=13960=t5fb50g95	1917
ncs1.ark+=13960=t7pn9nx39	1851
uc2.ark+=13960=t1hh6d91n	1914
uc2.ark+=13960=t8kd1st7f	1863
coo1.ark+=13960=t07w6z995	N/A
aeu.ark+=13960=t42r4k26f	1850
aeu.ark+=13960=t2h70mn2b	1877
coo1.ark+=13960=t76t17d3z	1905
aeu.ark+=13960=t1zc9hf1g	1916
coo1.ark+=13960=t2t448q2c	1868
aeu.ark+=13960=t9f48vj5n	1872
uc2.ark+=13960=t55d90r1m	1920
yale.39002098631881	1806
nc01.ark+=13960=t6pz5gk2k	1922
uc2.ark+=13960=t9959g742	1887
loc.ark+=13960=t2892cj5t	1889
uc2.ark+=13960=t6g15vz8s	1914
uc2.ark+=13960=t4mk66x82	1879
uc2.ark+=13960=t3vt1nz3w	1921
coo1.ark+=13960=t5z613n02	1918
bc.ark+=13960=t8bg5pn70	N/A
uc2.ark+=13960=t51g0kj6d	1842
aeu.ark+=13960=t3nw0bb03	1851
coo1.ark+=13960=t04x5v30x	1895
coo1.ark+=13960=t97661k4r	1898
mdp.39015078550665	1719
uc2.ark+=13960=t6542kn91	1902
loc.ark+=13960=t3hx27w1c	1912
bc.ark+=13960=t1wd6bq03	1882
uc2.ark+=13960=t9m33028s	1827
uc2.ark+=13960=t8hd8575f	N/A
uc2.ark+=13960=t6pz54d64	1875
coo1.ark+=13960=t2p56477q	1904
coo1.ark+=13960=t40s0bb4c	N/A
loc.ark+=13960=t1fj3qf27	N/A
nnc2.ark+=13960=t79s2fd3d	1895
uc2.ark+=13960=t6m04455v	1872
loc.ark+=13960=t6vx0g05q	1863
coo1.ark+=13960=t6tx3w694	1901
emu.010000154032	1915
uiuo.ark+=13960=t3708nc9z	1888
bc.ark+=13960=t5m905v04	1845
coo1.ark+=13960=t0ht36k99	1901
uc2.ark+=13960=t53f4rp62	1915
loc.ark+=13960=t16m3hr9p	1886
coo1.ark+=13960=t4sj21f2h	1894
aeu.ark+=13960=t7tm7x964	1889
uc2.ark+=13960=t3st7fb7x	1892
aeu.ark+=13960=t05x3mt7c	1905
loc.ark+=13960=t8ff42344	1912
bc.ark+=13960=t8qc0hs38	1820
yale.39002064458947	1853
loc.ark+=13960=t1bk27n3n	1900
coo1.ark+=13960=t22b9kn0c	1881
aeu.ark+=13960=t4kk9t316	1884
loc.ark+=13960=t4zg6vr4t	1922
uc2.ark+=13960=t1hh6k64t	1874
nnc2.ark+=13960=t14n0sh8z	1912
uc2.ark+=13960=t9765nm5r	N/A
coo1.ark+=13960=t8nc6j576	1903
uc2.ark+=13960=t1pg1rq4x	1905
coo1.ark+=13960=t0dv2433b	1910
uc2.ark+=13960=t6vx06w4k	1894
loc.ark+=13960=t09w0t484	1892
yale.39002029670297	1886
aeu.ark+=13960=t8x92hz4x	1875
yale.39002002270222	1914
uc2.ark+=13960=t7jq0v985	1920
loc.ark+=13960=t2r50hh2s	1912
loc.ark+=13960=t8gf19w2j	1849
loc.ark+=13960=t0sq9d011	1907
yale.39002050477232	1903
uc2.ark+=13960=t57d2sq43	1912
uc2.ark+=13960=t7gq71q0s	1917
gri.ark+=13960=t88h28s6x	1813
loc.ark+=13960=t4hm5r233	1846
uc2.ark+=13960=t6pz5389c	1913
yale.39002009958621	1838
uc2.ark+=13960=t35147j3j	1880
aeu.ark+=13960=t5r79f025	1891
loc.ark+=13960=t2c83k58s	N/A
loc.ark+=13960=t18k7tj62	1919
loc.ark+=13960=t1rf6740b	1882
coo1.ark+=13960=t0000q03x	1888
uc2.ark+=13960=t0wp9xj8c	1872
uc2.ark+=13960=t04x54r17	1880
gri.ark+=13960=t8vb0wq9q	1845
uc2.ark+=13960=t4nk3hd49	1911
coo1.ark+=13960=t3514k97g	1899
uc2.ark+=13960=t1dj5n99f	1864
aeu.ark+=13960=t0ft9v53j	1914
uc2.ark+=13960=t38050f8p	1917
nnc2.ark+=13960=t9v12rs5z	N/A
uiuo.ark+=13960=t2t43mq05	1894
coo1.ark+=13960=t8jd5fk3f	1917
uc2.ark+=13960=t2v40t02c	1905
uiuo.ark+=13960=t3517g99b	1896
coo1.ark+=13960=t4fn1rf4q	1920
uc2.ark+=13960=t8w95739n	1911
uc2.ark+=13960=t1td9p80x	1894
aeu.ark+=13960=t7qn7fx3c	1904
uc2.ark+=13960=t34170w6d	1920
uc2.ark+=13960=t5p845w87	1890
uc2.ark+=13960=t8hd7qt59	1876
uc2.ark+=13960=fk2p55dk5g	1902
